Chapter Name,Chapter Section,Section Walkthrough,Mission Tips and Strategy,Chapter Section Image
Jackson,Prologue,"1. Follow Tommy all the way to town.
2. Play the guitar after the cutscene.","**Playing Guitar**
To play guitar, push the control stick in the direction of the chord letter and strum the touch pad. The white lines on the rim of the circle will indicate where you should be holding the control stick.
How to Play Guitar",https://img.game8.co/3254598/6752f40e66a1fc1eb9e7e75b4efa925e.jpeg/show
Jackson,Waking Up,"1. Follow Jesse.
2. Follow Jesse and Maria.
3. Have a snowball fight with the kids.
4. Follow Dina.
5. Get your Horse.","**The Snowball Fight**
Make a snowball by picking up snow from the ground. You can then press R2 to quick throw at the kids.You need to hit the kids 10 times to win the snowball fight, although losing has no negative effect on the story.",https://img.game8.co/3254599/3c820373f2db3916284a58f0f4e0388e.jpeg/show
Jackson,The Overlook,"1. Follow Owen
2. After you and Owen split up, continue forward
3. You will come across several of frozen infected. Fight all of the infected, remembering to dodge each attack.
4. After fighting the infected you will come across an abandoned house.
5. Once you enter the house, look for a space in the floor next to the fridge.You will need to go prone to enter.
6. An infected will crawl to you from the front. Aim and shoot it before he reaches you.
7. Squeeze through the busted window next to the grill.
8. You will see another Runner that has not spotted you. Use Listen Mode and sneak behind it to preform a stealth kill.
9. Head downstairs and you will fight 2 more Runners.
10. Exit the house through the garage and climb over the large wooden fence.
11. You will see 5 Runners roaming this area. Sneak by or kill them.
12. Advance by crawling under the truck, and sqeeze through the trailer and car.","**Using Listening Mode**
Listen Mode is one of your greatest tools for surviving, as it allows you to scout out the area instead of jumping blindly into danger. It can be used by holding the R1 button (default), and it will cause you to walk slowly and see blurry white outlines of enemies.
How to Use Listen Mode",https://img.game8.co/3254637/692d3d01b3030c2b654919a1aa0d368a.jpeg/show
Jackson,Patrol,"1. Follow Dina.
2. After getting off your horse, follow and talk to Dina.
3. After talking to Dina, follow her into the next room and talk to her again.
4. Follow Dina to the horses, untie your horse, and follow her on horseback till you get to townYou can search this area for supplies.
5. After finding the dead moose, you must search for infected to clear out.
6. Enter the building closest to the moose and you will find one Runner.You can enter the locked door by jumping out of the broken window.
7. Squeeze through the door to get to the next area
8. After you squeeze through the door a Runner will charge at you. You will need to quick throw a bottle to stun it before striking it down.
9. Climb out of the room and kill the several infected in the area.
10. Dina will help you get over a delivery tuck to get to the next area.
11. Use the semi-truck to climb into the next buidling.
12. After entering the building you can enter a door to an area filled with sporse. Squeeze through the space in the wall next to the bookshelf and filling cabinets
13. After Ellie falls through the floor, you must stealth kill 2 clickers.
14. Climb out of the small window in the pharmacy and fight 2 clickers and several runners.
15. Use a cable to throw over the airduct and climb out of the super market
16. Follow Dana through the snow storm
17. The office door will be locked. Use a bottle to break the window to enter.
18. Turn on the generator.
19. Move the bookshelf to find a hidden basement.
20. Pick up the jar of joints","**Utilizing Stealth Kills**
Stealth kills are a great way to conserve ammo, and often they allow for much quicker and easier kills than using guns would. For clickers especially, learning how to properly stealth kill is essential to your survival.


**Super Market Safe**
A safe is in the office with a letter that gives a hint to the combo.

**Throwing the Cable**
After taking out the enemies in the area, you will find a cable underneath a large fan. Pick it up and throw it over the air duct so that you can climb up. Throwing is the same as throwing molotovs and other items, which is by default done by holding L2, adjusting the arc, then pressing R2. If you miss, you can pick up the cable and try again.

**Super Market Safe Code**
This safe is located on the top floor of the super market inside the office. Once you squeeze through the gap after putting on the gas mask, the office will be the door on your right. The hint for the safe is on the desk next to the safe.",https://img.game8.co/3254638/e4bfa69a24601c6193cffbc26e2d67f4.jpeg/show
Jackson,The Horde,"1. Run away from the horde of infected.
2. Follow Joel and Tommy and help them fight infected.You won't have a lot of ammo, So, use pipes and crowbars to quickly kill infected.
3. Help Tommy push the Gondola on to the trailer.
4. Help Joel protect Tommy from infected while he pushes the Gondola.**Be careful of clickers. You cannot melee attack them barehanded.
5. Climb the Gondola to exit the ski resort.
6. Follow Joel and Tommy while running from infected.",No mission tips and strategy found,https://img.game8.co/3254639/39dd93f96c55ae94e6cd9f19397e49db.jpeg/show
Jackson,The Chalet,"1. Follow the path to the mansion.
2. Head downstairs toward the sounds of pain.",No mission tips and strategy found,https://img.game8.co/3254640/62f83de9310528765a83087a37774eba.jpeg/show
Jackson,Packing Up,"1. Follow Dina out of the cemetery.
2. Go into the house and find the box on the bed upstairs.
3. Head back downstairs.",No mission tips and strategy found,https://img.game8.co/3254641/c4fad32243659f42f7f269ee96f6ba62.jpeg/show
Seattle Day 1,The Gate,"1. Ride through the forest until you reach the Seattle front gate with the WLF warning on it.
2. Head to the left side of the area and climb the 2nd Fedra mobile unit to get up.
3. Jump around the roof, then have Dina boost you up to the ladder.
4. Cross to the other side of the wall to get inside.
5. Use the ladder to climb down.
6. The generator will be on the other side of the Fedra mobile unit. Use a bottle or melee attack to smash the windows and jump through.
7. After opening the small gate, unplug the cord line and throw it over the other fence, to reach the other power outlet.
8. Input the password 0-5-1-2 to open the main gate.","**Climbing the roof for more collectibles**
Before you throw the line on the other side of the fence to open the main gate, you can throw the cable behind the sign of the trailer beside the generator. This will allow you to climb onto the roof using the cable of the generator to get more collectibles.

**Getting the line to reach the other outlet**
Just like you did back in Jackson, you will need to retract the cable and aim it by pressing the L2+R2 buttons, then throwing it over the fence. Simply running around the fence while holding it will cause it to snag.",https://img.game8.co/3254643/aa4ec6eb12d91b4c13229fbb3110023f.jpeg/show
Seattle Day 1,Downtown,"1. Continue moving towards the Serevena Hotel.
2. Find the generator by following the Yellow Power Line.
3. Based on the artifact that you pick up, the gas is available at the Courtroom Garage or the Dome.
4. Enter the open gate with the Fuel Distribution sign on it.
5. Move forward until you reach the locked gate, then squeeze through it to enter.
6. You will encounter 2 Runners on the area. Deal with them, then go over the wooden wall to proceed.
7. On this area, You will encounter 2 Clickers and 2 Runners. You can go Prone to silently get past them.
8. Head up through the scaffholdings to get inside the Dome.
9. After spotting the gas from the other side of the metal bars, squeeze through the broken metal wall and use the trolley as boost to get the Gas Container.
10. Head to the Courtroom Garage.
11. Use the trolley again to boost yourself up to the other side of the courtroom.
12. Dina will find a rope. Swing yourself to jump to the other side.
13. Exit through the broken window and go to the Courtoom Garage.
14. Head to the right side of the courthouse and climb up the ladder.
15. Open the window to get inside.
16. You will encounter 2 Clickers and 3 Runners right after you get inside.
17. At the end of the hallway, open the double door with the help of Dina.
18. Head downstairs and you wil find a locked room. Smash the windows to get in and open the Safe.
19. Use the rope at the elevator to go down.
20. After opening the elevator you will encounter 5 Runners and 2 Clickers.
21. Fill up your Gas Container.
22. Use the chain to open up the garage doors.
23. Go back to the Fedra gate and turn on the generator.
24. Input the code5-3-4-5to open the gate.
25. Move forward the Serevana Hotel.
26. You will spot an infected. Hop on the fence to get inside.
27. Inside the lobby you will encounter 5 Runners.
28. Head upstairs and check one of the rooms until you encounter a tortured person, where a cutscene will trigger.
29. Exit the hotel and go to your horse.
30. Go to Gate East 1 and turn on the generator. Dina will input the code to open the gate.
31. Continue moving forward up to the bridge and another cutscence will trigger.","**Seattle Map**
You can visit some of the places that Ellie marked as ? on her map. There may be a lot of supplies inside those buildings, so be aure and check them out while in the area.

**Swinging with the Rope**
This is the first experience that you will have swinging on a Rope. You have to build up momentum to successfully cross the other side by pressing the jump putton when you reach the peak of momentum.

**Safe in the Courthouse**
This safe can be found inside the courthouse before hopping down the elevator shaft. Break the window near end of the hall and hop into the room on the other side to find a safe. The code to the safe is written on the board in the same room.
Inside you will find some scavenged parts and ammo.

**Bank Vault Code**
After entering town, the Bank is ahead and slightly to the left. Inside the bank, there will be two Clickers and several Runners. The Vault is in a room behind the counter. The combination is on the table in front of the vault.
Here you will be able to get the Pump Shotgun.


**Courthouse Safe Code**
This safe can be found inside the courthouse before hopping down the elevator shaft. Break the window near end of the hall and hop into the room on the other side to find a safe. The code to the safe is written on the board in the same room.
Inside you will find some scavenged parts and ammo.

**West Gate 2 Safe Code**
The West Gate is located across from the music store. Writing that reads 'Use gate code' is on the wall next to the safe. You should already have the note with all of the gate codes.",https://img.game8.co/3254644/6d57e18de6724a1cd587ad1e9af966a8.jpeg/show
Seattle Day 1,Eastbrook Elementary,"1. Escape from being tied up and rescue Dina.
2. Fight off the 2 WLF members and head towards the double doors.
3. Moving forward in the hallway, you will encounter more WLF members.
4. At the open area with tall grass, go up the roof to escape.
5. On the other end of the roof, get inside the door.
6. Inside the room, get on one of the tables and force your way upon the rusted window.
7. Jump over to the other side of the building.
8. Continue moving forward through the rooms until you see an open space to get on the street.
9. Head towards the street and into one of the open houses.","**Battling with the WLF members**
These guys are hard to deal with it, especially there are so many of them, while there are only two of you. It is recommended to sneak past them, since Ellie and Dina are very agile. You can also Stealth kill them when possible to avoid alerting the other members.",https://img.game8.co/3254646/5d41c6de356466fe9b5c404a5c7f5c55.jpeg/show
