Collectible Name,Collectible Type,Which chapter it can be found,Collectible location
Volunteer Request,Artifact,Jackson - Waking Up,This artifact is on a crate beside multiple piles of logs near the blacksmith.
The View,Journal Entry,Jackson - Patrol,This journal entry can be gained by interacting with the view after looking at it with Dina.
Toy Giraffe,Journal Entry,Jackson - Patrol,This journal entry can be gained by interacting with the toy Giraffe in the next room after you receive Eugene's Firefly Pendant.
Seismicayla,Trading Card,Waking Up,This trading card is pinned on a cork board when you turn left after reaching the town square shortly after following Jesse.
The Keene Twins,Trading Card,Waking Up,This trading card is on top of a barrel beside the dart board inside the Tipsy Bison after you talk to Maria.
Map of Seattle,Artifact,Seattle Day 1 - The Gate,This artifact is inside a file cabinet in the trailer at the left of the old highway.
Refugee Note,Artifact,Seattle Day 1 - The Gate,This artifact is on the table inside the first military trailer to the left of the gate.
Infected Infographic,Artifact,Seattle Day 1 - The Gate,This artifact is on the table inside the second military trailer to the left of the gate.
Isaac's Orders,Artifact,Seattle Day 1 - The Gate,This artifact is on a military crate at the top of the watchtower after you successfully cross the QZ gate.
Checkpoint Gate Codes,Artifact,Seattle Day 1 - The Gate,This artifact is inside a drawer in the first military trailer you encounter after crossing the QZ gate and going down the watchtower.
Rooftop Note,Artifact,Seattle Day 1 - The Gate,This artifact is on the roof of a military trailer with a generator beside it.You can get to the roof by throwing the cable behind the sign on the roof and climbing the cable from the other side.
WLF Message,Journal Entry,Seattle Day 1 - The Gate,"This journal entry can be gained by interacting with the ""WLF TRESPASSERS KILLED ON SIGHT."" message on the gate."
Motivator,Trading Card,The Gate,This trading card is on the side of a bus stop when you see the first cars in the current chapter.
The Starfire Kids,Trading Card,The Gate,This trading card is pinned on the cork board inside the trailer at the left of the old highway.
Chessmaster,Trading Card,The Gate,This trading card is on a table at the top of the watchtower after you successfully cross the QZ gate.
Oozer,Trading Card,The Gate,This trading card is on the roof of a military trailer with a generator beside it.You can get to the roof by throwing the cable behind the sign on the roof and climbing the cable from the other side.
Garage Note,Artifact,Seattle Day 3 - Road to the Aquarium,This artifact is on the upper level of the destroyed garage by the ledge where Ellie and Jesse need to swim in the chapter .
Textile Note,Artifact,Seattle Day 3 - Road to the Aquarium,This artifact is on the wall with the windows on the second floor of the Rachel's Fabric building.
